Date,Price_inter
2018-02-01,13.23
2018-02-02,13.208214285714286
2018-02-03,13.186428571428571
2018-02-04,13.164642857142857
2018-02-05,13.142857142857142
2018-02-06,13.12107142857143
2018-02-07,13.099285714285715
2018-02-08,13.0775
2018-02-09,13.055714285714286
2018-02-10,13.033928571428572
2018-02-11,13.012142857142857
2018-02-12,12.990357142857142
2018-02-13,12.968571428571428
2018-02-14,12.946785714285713
2018-02-15,12.925
2018-02-16,12.903214285714286
2018-02-17,12.881428571428572
2018-02-18,12.859642857142857
2018-02-19,12.837857142857143
2018-02-20,12.816071428571428
2018-02-21,12.794285714285714
2018-02-22,12.772499999999999
2018-02-23,12.750714285714285
2018-02-24,12.728928571428572
2018-02-25,12.707142857142857
2018-02-26,12.685357142857143
2018-02-27,12.663571428571428
2018-02-28,12.641785714285714
2018-03-01,12.62
2018-03-02,12.615625
2018-03-03,12.61125
2018-03-04,12.606874999999999
2018-03-05,12.6025
2018-03-06,12.598125
2018-03-07,12.59375
2018-03-08,12.589374999999999
2018-03-09,12.584999999999999
2018-03-10,12.580625
2018-03-11,12.57625
2018-03-12,12.571875
2018-03-13,12.567499999999999
2018-03-14,12.563125
2018-03-15,12.55875
2018-03-16,12.554375
2018-03-17,12.55
2018-03-18,12.545625
2018-03-19,12.54125
2018-03-20,12.536875
2018-03-21,12.5325
2018-03-22,12.528125
2018-03-23,12.52375
2018-03-24,12.519375
2018-03-25,12.515
2018-03-26,12.510625000000001
2018-03-27,12.50625
2018-03-28,12.501875
2018-03-29,12.4975
2018-03-30,12.493125000000001
2018-03-31,12.48875
2018-04-01,12.484375
2018-04-02,12.48
2018-04-03,12.48448275862069
2018-04-04,12.488965517241379
2018-04-05,12.49344827586207
2018-04-06,12.49793103448276
2018-04-07,12.502413793103448
2018-04-08,12.506896551724138
2018-04-09,12.511379310344827
2018-04-10,12.515862068965518
2018-04-11,12.520344827586207
2018-04-12,12.524827586206897
2018-04-13,12.529310344827586
2018-04-14,12.533793103448275
2018-04-15,12.538275862068966
2018-04-16,12.542758620689655
2018-04-17,12.547241379310345
2018-04-18,12.551724137931034
2018-04-19,12.556206896551725
2018-04-20,12.560689655172414
2018-04-21,12.565172413793103
2018-04-22,12.569655172413793
2018-04-23,12.574137931034482
2018-04-24,12.578620689655173
2018-04-25,12.583103448275862
2018-04-26,12.587586206896551
2018-04-27,12.59206896551724
2018-04-28,12.59655172413793
2018-04-29,12.601034482758621
2018-04-30,12.60551724137931
2018-05-01,12.61
2018-05-02,12.597096774193547
2018-05-03,12.584193548387097
2018-05-04,12.571290322580644
2018-05-05,12.558387096774194
2018-05-06,12.545483870967741
2018-05-07,12.532580645161291
2018-05-08,12.519677419354839
2018-05-09,12.506774193548386
2018-05-10,12.493870967741936
2018-05-11,12.480967741935483
2018-05-12,12.468064516129033
2018-05-13,12.45516129032258
2018-05-14,12.442258064516128
2018-05-15,12.429354838709678
2018-05-16,12.416451612903225
2018-05-17,12.403548387096775
2018-05-18,12.390645161290323
2018-05-19,12.377741935483872
2018-05-20,12.36483870967742
2018-05-21,12.351935483870967
2018-05-22,12.339032258064517
2018-05-23,12.326129032258065
2018-05-24,12.313225806451614
2018-05-25,12.300322580645162
2018-05-26,12.28741935483871
2018-05-27,12.274516129032259
2018-05-28,12.261612903225807
2018-05-29,12.248709677419356
2018-05-30,12.235806451612904
2018-05-31,12.222903225806453
2018-06-01,12.21
2018-06-02,12.193870967741937
2018-06-03,12.177741935483871
2018-06-04,12.161612903225807
2018-06-05,12.145483870967743
2018-06-06,12.129354838709679
2018-06-07,12.113225806451613
2018-06-08,12.097096774193549
2018-06-09,12.080967741935485
2018-06-10,12.06483870967742
2018-06-11,12.048709677419355
2018-06-12,12.032580645161291
2018-06-13,12.016451612903227
2018-06-14,12.000322580645163
2018-06-15,11.984193548387097
2018-06-16,11.968064516129033
2018-06-17,11.951935483870969
2018-06-18,11.935806451612905
2018-06-19,11.919677419354839
2018-06-20,11.903548387096775
2018-06-21,11.88741935483871
2018-06-22,11.871290322580647
2018-06-23,11.855161290322581
2018-06-24,11.839032258064517
2018-06-25,11.822903225806453
2018-06-26,11.806774193548389
2018-06-27,11.790645161290323
2018-06-28,11.774516129032259
2018-06-29,11.758387096774195
2018-06-30,11.74225806451613
2018-07-01,11.726129032258065
2018-07-02,11.71
2018-07-03,11.702000000000002
2018-07-04,11.694
2018-07-05,11.686
2018-07-06,11.678
2018-07-07,11.670000000000002
2018-07-08,11.662
2018-07-09,11.654
2018-07-10,11.646
2018-07-11,11.638000000000002
2018-07-12,11.63
2018-07-13,11.622
2018-07-14,11.614
2018-07-15,11.606000000000002
2018-07-16,11.598
2018-07-17,11.59
2018-07-18,11.582
2018-07-19,11.574000000000002
2018-07-20,11.566
2018-07-21,11.558
2018-07-22,11.55
2018-07-23,11.542000000000002
2018-07-24,11.534
2018-07-25,11.526
2018-07-26,11.518
2018-07-27,11.510000000000002
2018-07-28,11.502
2018-07-29,11.494
2018-07-30,11.486
2018-07-31,11.478000000000002
2018-08-01,11.47
2018-08-02,11.466363636363637
2018-08-03,11.462727272727273
2018-08-04,11.459090909090909
2018-08-05,11.455454545454545
2018-08-06,11.451818181818183
2018-08-07,11.44818181818182
2018-08-08,11.444545454545455
2018-08-09,11.440909090909091
2018-08-10,11.437272727272727
2018-08-11,11.433636363636364
2018-08-12,11.43
2018-08-13,11.426363636363636
2018-08-14,11.422727272727274
2018-08-15,11.41909090909091
2018-08-16,11.415454545454546
2018-08-17,11.411818181818182
2018-08-18,11.408181818181818
